date,hour,icetype
2019/11/03,6,1
2019/11/03,7,1
2019/11/03,8,4
2019/11/03,9,4
2019/11/03,10,4
2019/11/03,11,4
2019/11/03,12,4
2019/11/03,13,4
2019/11/03,14,4
2019/11/03,15,4
2019/11/03,16,4
2019/11/03,17,2
2019/11/03,18,1
2019/11/03,19,1
2019/11/03,20,-9
2019/11/03,21,-9
2019/11/03,22,-9
2019/11/03,23,-9
2019/11/04,0,-9
2019/11/04,1,-9
2019/11/04,2,-9
2019/11/04,3,-9
2019/11/04,4,1
2019/11/04,5,1
2019/11/04,6,1
2019/11/04,7,1
2019/11/04,8,1
2019/11/04,9,1
2019/11/04,10,1
2019/11/04,11,1
2019/11/04,12,1
2019/11/04,13,1
2019/11/04,14,1
2019/11/04,15,1
2019/11/04,16,1
2019/11/04,17,1
2019/11/04,18,1
2019/11/04,19,1
2019/11/04,20,-9
2019/11/04,21,-9
2019/11/04,22,-9
2019/11/04,23,-9
2019/11/05,0,-9
2019/11/05,1,-9
2019/11/05,2,-9
2019/11/05,3,-9
2019/11/05,4,1
2019/11/05,5,1
2019/11/05,6,1
2019/11/05,7,1
2019/11/05,8,1
2019/11/05,9,1
2019/11/05,10,1
2019/11/05,11,1
2019/11/05,12,1
2019/11/05,13,1
2019/11/05,14,1
2019/11/05,15,1
2019/11/05,16,1
2019/11/05,17,1
2019/11/05,18,1
2019/11/05,19,1
2019/11/05,20,-9
2019/11/05,21,-9
2019/11/05,22,-9
2019/11/05,23,-9
2019/11/06,0,-9
2019/11/06,1,-9
2019/11/06,2,-9
2019/11/06,3,-9
2019/11/06,4,1
2019/11/06,5,1
2019/11/06,6,1
2019/11/06,7,1
2019/11/06,8,1
2019/11/06,9,1
2019/11/06,10,1
2019/11/06,11,1
2019/11/06,12,1
2019/11/06,13,1
2019/11/06,14,1
2019/11/06,15,1
2019/11/06,16,1
2019/11/06,17,1
2019/11/06,18,1
2019/11/06,19,1
2019/11/06,20,-9
2019/11/06,21,-9
2019/11/06,22,-9
2019/11/06,23,-9
2019/11/07,0,-9
2019/11/07,1,-9
2019/11/07,2,-9
2019/11/07,3,-9
2019/11/07,4,1
2019/11/07,5,1
2019/11/07,6,1
2019/11/07,7,1
2019/11/07,8,1
2019/11/07,9,1
