date,hour,icetype
2019/10/23,13,7
2019/10/23,14,7
2019/10/23,15,7
2019/10/23,16,7
2019/10/23,17,7
2019/10/23,18,7
2019/10/23,19,7
2019/10/23,20,-9
2019/10/23,21,-9
2019/10/23,22,-9
2019/10/23,23,-9
2019/10/24,0,-9
2019/10/24,1,-9
2019/10/24,2,-9
2019/10/24,3,-9
2019/10/24,4,-9
2019/10/24,5,7
2019/10/24,6,7
2019/10/24,7,7
2019/10/24,8,7
2019/10/24,9,7
2019/10/24,10,6
2019/10/24,11,6
2019/10/24,12,6
2019/10/24,13,7
2019/10/24,14,6
2019/10/24,15,6
2019/10/24,16,6
2019/10/24,17,6
2019/10/24,18,5
2019/10/24,19,7
2019/10/24,20,7
2019/10/24,21,-9
2019/10/24,22,-9
2019/10/24,23,-9
2019/10/25,0,-9
2019/10/25,1,-9
2019/10/25,2,-9
2019/10/25,3,-9
2019/10/25,4,-7
2019/10/25,5,-7
2019/10/25,6,-7
2019/10/25,7,7
2019/10/25,8,7
2019/10/25,9,7
2019/10/25,10,6
2019/10/25,11,7
2019/10/25,12,7
2019/10/25,13,7
2019/10/25,14,7
2019/10/25,15,7
2019/10/25,16,6
2019/10/25,17,7
2019/10/25,18,7
2019/10/25,19,7
2019/10/25,20,7
2019/10/25,21,-7
2019/10/25,22,-9
2019/10/25,23,-9
2019/10/26,0,-9
2019/10/26,1,-9
2019/10/26,2,-9
2019/10/26,3,-9
2019/10/26,4,-7
2019/10/26,5,7
2019/10/26,6,7
2019/10/26,7,7
2019/10/26,8,7
2019/10/26,9,7
2019/10/26,10,7
2019/10/26,11,-8
2019/10/26,12,-8
2019/10/26,13,6
2019/10/26,14,7
2019/10/26,15,7
2019/10/26,16,7
2019/10/26,17,6
2019/10/26,18,-7
2019/10/26,19,-7
2019/10/26,20,-7
2019/10/26,21,-9
2019/10/26,22,-9
2019/10/26,23,-9
2019/10/27,0,-9
2019/10/27,1,-9
2019/10/27,2,-9
2019/10/27,3,-9
2019/10/27,4,-7
2019/10/27,5,-7
2019/10/27,6,7
2019/10/27,7,-7
2019/10/27,8,-7
2019/10/27,9,7
2019/10/27,10,7
2019/10/27,11,7
2019/10/27,12,7
2019/10/27,13,7
2019/10/27,14,7
2019/10/27,15,7
2019/10/27,16,7
2019/10/27,17,7
2019/10/27,18,7
2019/10/27,19,7
2019/10/27,20,-7
2019/10/27,21,-9
2019/10/27,22,-9
2019/10/27,23,-9
2019/10/28,0,-9
2019/10/28,1,-9
2019/10/28,2,-9
2019/10/28,3,-9
2019/10/28,4,-7
2019/10/28,5,7
2019/10/28,6,7
2019/10/28,7,7
2019/10/28,8,7
2019/10/28,9,7
2019/10/28,10,7
2019/10/28,11,7
2019/10/28,12,7
2019/10/28,13,7
2019/10/28,14,7
2019/10/28,15,7
